probe,weight,folds_selected
219514_at,-0.7909808370856682,4
215199_at,-0.24018518720734328,3
216242_x_at,0.22787511441019448,3
225907_at,0.21318845861808974,3
232072_at,0.1853279891364995,0
1558745_at,-0.1817839142982323,1
AFFX-DapX-M_at,-0.16010436451938312,3
209964_s_at,0.1556433997379495,1
219557_s_at,-0.14016118061827354,3
208465_at,0.1400104298823565,3
227013_at,-0.1392395497770155,0
214992_s_at,-0.1376292247498916,0
232009_at,-0.13568095935587304,2
237705_at,0.132688261715398,2
1564253_at,0.13167946911948647,4
228141_at,-0.1256748484194653,1
216286_at,0.1239018895036058,0
241164_at,0.11507262456379172,4
1563044_at,-0.1123037465671797,3
1568787_at,0.11080222993060698,5
235184_at,0.10957164125404067,3
243274_x_at,-0.10709331137820421,3
240700_at,0.10666555262768096,1
1554762_a_at,-0.10641357929378187,2
241183_at,-0.10106265496649339,3
208999_at,0.09840801710728998,0
217876_at,0.09745236894892359,0
215142_at,-0.09674093251722116,1
216052_x_at,0.09673931121186743,3
234546_at,-0.09627308533496995,2
219793_at,-0.09536176363976805,4
201882_x_at,0.095022506536334,1
225807_at,-0.09497804603308824,5
226095_s_at,0.09486818829974875,4
232057_at,-0.09447155105549533,0
220827_at,-0.09371477712557985,1
221661_at,0.09328367243368152,0
208036_at,0.09264749659513827,3
213499_at,0.09034993195198562,3
221523_s_at,-0.08995977803538818,2
1566041_at,0.08977510814207228,2
1562755_at,0.08843759927226832,1
241590_at,-0.08756042890522475,1
229733_s_at,-0.08725369867523891,0
239318_at,0.08689182252958866,3
226894_at,0.08673109562745585,3
204475_at,-0.08657982129924506,4
232834_at,0.08374501881591519,2
221037_s_at,0.08346313037931356,2
210988_s_at,0.08300730347965168,3
239881_at,0.08163835592237971,2
243194_at,0.0808793727005028,2
242944_at,-0.08078156902470576,0
1552726_at,0.07874679043547797,5
234003_at,-0.07809717684553626,2
216245_at,-0.07772508786498815,4
232062_at,-0.07696623919880843,1
239824_s_at,0.07646350363153426,0
244578_at,-0.07637484860343391,0
1558586_at,0.07628017659162574,1
215592_at,0.07616104941996607,4
235564_at,-0.07594461797817162,1
215400_x_at,-0.07571395269665096,2
227007_at,0.07559384526200333,0
213999_at,0.07367842925796769,2
213169_at,0.07274030580642242,1
229673_at,-0.07264629148618569,2
217095_x_at,0.07224120237651051,2
203349_s_at,-0.07154589420228628,5
224265_s_at,0.07148736273946445,3
201035_s_at,0.07129766409249388,2
1553585_a_at,-0.07122264541283527,2
239084_at,0.07112880722347509,3
201313_at,-0.07047960910179489,3
220436_at,0.07033330871484636,1
243493_at,-0.06896583789415178,2
203899_s_at,0.06872122841533516,2
234236_at,0.06835402936094107,1
220811_at,0.06800555070828185,1
1552306_at,0.06774403197123738,2
216605_s_at,0.06749727629834068,2
220665_at,0.06744734546077724,0
211880_x_at,0.0668960473739598,1
228870_at,0.06666133031086652,3
239484_at,0.06621479176593115,1
214200_s_at,0.06614400789165442,2
1553023_a_at,0.06593751942254547,2
218866_s_at,0.06585816707171846,2
220033_at,0.06561726071288308,3
206529_x_at,-0.06517878138638053,2
244856_at,-0.06511254184644846,1
212986_s_at,0.06476179686760984,0
233634_at,0.06369609440714626,3
228240_at,0.06364553634760754,2
1559692_at,0.06333226255090936,1
231635_x_at,-0.06274880130692059,2
1561012_at,0.06259037674683407,0
1570383_at,-0.06253085249273141,1
235364_at,0.061680658092017254,4
225826_at,0.06166199449832526,2
1555756_a_at,-0.06135462599973312,0
235217_at,0.061179606626456946,1
1552511_a_at,0.06102073508144481,2
1561177_at,0.06098865347487715,1
1570279_at,0.06079484549299105,1
1554003_at,0.06074261586074131,2
1569029_at,0.05973952030696759,2
210155_at,-0.05948307408671906,2
209010_s_at,-0.058636368714574436,0
231162_at,0.05813277397297261,1
239233_at,-0.05756866877143988,4
243962_at,0.057146017649335384,4
221500_s_at,0.05697921444825835,2
214893_x_at,0.0561022596547105,3
233005_at,0.05567079760637637,0
213690_s_at,0.055528932344280524,0
202800_at,-0.05536303588169214,0
1565657_at,0.055349404973557705,2
204019_s_at,0.055157653467677155,2
227254_at,0.05508370851973006,0
204597_x_at,-0.05479929656976615,1
240419_at,-0.05394716683326148,2
209804_at,-0.05365075592576359,0
221459_at,0.053324489919988435,0
216567_at,0.05298403455374036,0
208554_at,-0.05290322582816415,1
238393_at,0.051952369130604956,2
239417_x_at,-0.05175632387519919,1
214826_at,0.05168762381870826,2
244343_at,0.0512300295585071,2
1553623_at,0.05056566919271733,0
201859_at,-0.05015830239888592,1
227534_at,-0.049677815687707114,0
243814_at,0.049665947188040405,1
223945_x_at,0.04901736144840797,0
217252_at,0.04851349512583403,2
209374_s_at,-0.04847069331471367,0
1558136_s_at,0.048404733104539965,0
213192_at,-0.0478455184823285,0
1556429_a_at,0.04774245133447853,0
1552368_at,0.04763771730996761,2
213369_at,0.04729828813547661,0
231184_at,-0.04684437684940586,0
226612_at,-0.04648173669546115,1
232366_at,0.04636472834111038,1
211513_s_at,-0.04633645132814601,0
230208_at,0.04631240568130948,2
237989_at,0.04626322463479894,0
200069_at,0.04614130224710262,0
1569303_s_at,-0.04595134737093519,0
241428_x_at,0.04589528194262285,2
209225_x_at,-0.04519962598501218,0
240056_at,-0.04513290455429893,1
232494_at,0.04498918803388814,2
229703_at,0.04489085547832942,3
242940_x_at,-0.04466026779051474,2
1554950_at,0.04461576769733922,2
238220_at,0.044375072344848165,2
205283_at,0.043971981930021595,1
216239_at,-0.043923620732902124,2
242594_at,-0.04383227001335584,1
214599_at,0.04365699076732853,2
207018_s_at,-0.04359487670679613,1
212207_at,-0.0434512283601729,1
1559537_at,0.04302095674612684,1
241528_at,0.04293252024583138,2
208316_s_at,0.042831455057809144,1
230329_s_at,0.0427840274810629,2
205517_at,-0.0426867219605795,1
230580_at,0.04261493467351715,0
239384_at,0.04257373035451616,4
1555169_at,0.04251702503311168,1
221040_at,0.04248603142490931,3
217240_at,-0.04239571374062569,0
1556885_at,-0.04224319928605569,1
234401_at,-0.04216878663569252,2
216939_s_at,0.04202870085322127,2
219905_at,0.04194537520180647,2
220012_at,-0.041784162272694714,3
211715_s_at,0.04169534298672558,1
232649_at,0.041637396341521346,0
1553523_at,0.041391063870426896,1
204454_at,-0.04093946981802368,0
231280_at,0.04076041162855618,0
240129_at,0.04056811837944072,3
205828_at,-0.040452732357008594,3
225919_s_at,-0.04035500046018253,2
203348_s_at,-0.040319539151314046,2
1569948_at,0.04012020356481305,0
1568448_at,0.03991930579120708,3
233179_x_at,0.03971865725213364,2
227470_at,0.03970238488444546,2
222778_s_at,0.03964317450770561,0
236142_at,0.03954419538085028,0
238963_at,-0.03948056026676133,0
1563118_at,-0.03944338363788097,0
1552314_a_at,0.03893906921764789,1
244459_at,0.038910011012545445,1
1559633_a_at,0.03886144410969273,2
207179_at,-0.038818318963763254,2
205261_at,-0.03876338747148681,1
214732_at,0.03867026673986851,1
207756_at,0.03866302555151108,0
222635_s_at,0.03862126266049115,0
227452_at,0.03850901810687568,1
204707_s_at,0.0381818627205157,0
244688_at,0.038127384300795056,0
211054_at,-0.03797050050667253,1
211833_s_at,0.037662918710696484,0
1555165_a_at,0.03756826070598044,1
216482_x_at,0.03750055621165145,2
240477_at,0.03745323172431646,3
234328_at,0.037328773870466285,1
239911_at,-0.037193640598895045,0
208566_at,-0.03697643742664906,1
201348_at,-0.03692965913651167,2
217460_at,-0.03689879097535687,0
1563677_at,0.0368384643431527,1
214009_at,-0.03663342319922737,1
206022_at,-0.03652511571276714,2
211089_s_at,0.036488392367354544,2
207749_s_at,0.036193046840495256,2
238428_at,-0.036021552269769386,0
217964_at,0.035748943006567675,0
209783_at,0.03521884707375776,1
241809_at,-0.034956504446767886,1
211791_s_at,0.03478282061380035,0
212573_at,0.0346936758213684,3
1569683_at,0.03456396246867723,2
211480_s_at,0.03424450978763308,1
216851_at,-0.03396448571839736,1
206154_at,0.033588923808231044,1
228156_at,0.03344477512221654,0
240622_at,0.0331511055119548,0
202809_s_at,0.033130955428079846,1
1569378_at,0.033114131238523505,0
214187_x_at,0.03286071840449891,1
205121_at,0.03272104819219884,1
1555041_a_at,0.03241824843888033,1
1569641_at,0.03236639651439707,1
243144_at,0.03228570042927315,1
210579_s_at,0.032138897459302415,1
209252_at,0.03203775280089951,0
1564491_at,-0.03185377197397815,0
233556_at,0.03177395448777204,1
1559676_a_at,0.03177167472254183,0
240479_at,-0.03176006715276291,0
213374_x_at,0.03170574897019303,2
216087_at,0.03162915860360732,0
228346_at,0.031011524128363978,3
237637_at,0.030827260785703487,2
209250_at,-0.030502593319692364,0
1558534_at,0.030466147718378266,0
243747_at,-0.030441125442267097,0
1562358_at,0.030391440449251107,0
209299_x_at,0.030368843675914005,1
224072_s_at,0.030166294705527806,3
1555872_a_at,0.029927054796510644,2
204742_s_at,0.029875365868945975,1
224412_s_at,0.02980924392805487,1
235670_at,-0.029677910863908186,0
242391_at,0.0296347221406401,2
1553467_at,0.029626764031074608,2
1552979_at,-0.02961463957390291,0
1556715_at,0.02953654741647377,2
1556564_at,-0.0294879218001333,1
240558_at,-0.029458527931813732,1
226355_at,0.02937650184221632,1
229894_s_at,-0.028868221283579017,2
1559714_at,0.02885492032055585,2
228723_at,0.02869271258028051,0
234988_at,0.028620391566722983,0
226207_at,-0.028508296104170355,2
207697_x_at,-0.028492698325158695,0
234130_at,0.0283954068874779,0
237856_at,0.02815258744097611,2
1557636_a_at,-0.028032120699062652,2
1562909_at,-0.027783165689043276,0
1558885_at,0.027602898526622836,2
242204_at,0.0274721071356941,0
1552812_a_at,-0.027407348836180533,0
239056_at,-0.0273951712047302,0
241151_at,-0.027341128348441244,0
230059_at,0.027182312517887202,3
1566991_at,-0.027126528826627853,1
235181_at,0.026669331314695486,1
240780_at,-0.026554046501532355,1
229977_at,0.02650527952938253,0
1553253_at,0.026393388349718598,2
1554160_a_at,0.026353618466264113,2
203709_at,0.02634872108593037,1
1556986_at,0.026137740852265418,0
229732_at,0.026066273596077185,1
238451_at,0.026007392834148043,1
238131_at,0.02584956394023547,3
236973_at,-0.02580167766468443,1
232225_at,-0.02577076457099691,0
201396_s_at,0.025628387057063003,2
243407_at,0.02562089120110512,1
235555_at,0.02548272423573691,1
1560739_a_at,0.02540376961069016,2
243345_at,0.02524354706238419,0
219913_s_at,0.02504278121564502,0
236349_at,0.024990745379197286,0
225854_x_at,0.024900361335652703,1
202755_s_at,0.02482324475764038,0
216821_at,0.02482045776170981,0
219618_at,-0.024816423997380505,0
1558215_s_at,0.024615111786764777,1
239598_s_at,-0.024220113881220588,1
226715_at,0.02417352593616734,0
215835_at,-0.024079218088512322,1
1557798_at,0.02401302128436747,1
226912_at,0.02392683144886171,3
215127_s_at,-0.023895702200588953,0
231232_at,0.02350683289613616,1
207480_s_at,-0.023463711414632767,2
212293_at,0.023433637567923077,1
205226_at,-0.023338389820522283,1
217842_at,0.023168559511962818,0
220819_at,0.023142148029902214,2
205927_s_at,-0.023058526864967344,0
201881_s_at,-0.022920637741633144,0
206362_x_at,0.022710627958229902,0
1553613_s_at,-0.022700400194385364,3
201470_at,-0.022524226094897827,1
221524_s_at,-0.02249970638439712,0
237379_at,0.02224730614571267,1
240241_at,0.022003127980547627,1
241610_x_at,-0.02193275105251522,1
212592_at,-0.0219149107149394,0
238058_at,0.021858366832897932,0
237080_at,0.02184067837062174,1
213641_at,-0.021803329365707773,2
1562254_at,0.021801142969038012,0
237307_at,-0.021558938869720573,0
1562317_at,-0.021503284423457166,2
1570285_at,-0.0214313508376315,0
244567_at,0.02140293716287028,3
222894_x_at,0.02138629510286369,1
231852_at,-0.021334599947261786,1
242786_at,-0.02122243891637485,0
220696_at,0.021067664107832822,2
200945_s_at,-0.021034200752211518,0
229672_at,0.021017370557674244,4
1561261_at,0.020970074795288684,0
1553122_s_at,0.02090264831127759,0
228593_at,0.02085314638842637,2
216843_x_at,0.020832716980859485,2
204899_s_at,-0.020636829404045137,0
230999_at,-0.02052492015818776,2
1564950_at,-0.02052344459995316,0
237595_at,-0.020469809029562306,0
1554566_at,0.020469634264805834,1
207741_x_at,-0.020447220042572763,0
1553556_at,0.0202996355055712,0
216755_at,0.020228412002469824,0
205211_s_at,0.020143967434049594,0
1553878_at,0.020034529744421263,0
1554117_at,0.02003434523473462,0
240389_at,0.019977660478914614,1
1562168_at,-0.019899286262294962,1
242639_at,0.01988037825127441,1
226659_at,-0.019772649226064337,0
208374_s_at,-0.01957226053620747,0
235328_at,0.019426802751631386,3
210229_s_at,-0.01913899760728987,1
243331_at,0.019123187174979888,1
1562433_at,0.019074563491974013,0
220903_at,0.019068550923000565,2
218364_at,0.018711430956195846,1
210143_at,-0.01868954718647909,1
225385_s_at,0.01865811999336592,2
239166_at,0.018629425612705138,0
230655_at,-0.01862123601214045,0
234924_s_at,0.018541998887868533,0
229013_at,-0.018519231405453987,0
214473_x_at,0.01849676622393831,0
207879_at,-0.01846273927306722,0
206993_at,0.018460545333064314,0
241598_at,0.018446733159508122,0
201865_x_at,-0.018445872034742468,1
239799_at,0.018274834563264102,0
239341_at,0.018258387454559332,2
1561518_at,0.01824474237935745,2
238258_at,-0.01821038976385615,0
200782_at,-0.018180034045015333,0
203916_at,-0.018067646179813865,2
224881_at,0.018018057174790613,0
206172_at,-0.01796389045215872,4
1554183_s_at,0.01773600061635089,1
243230_at,-0.017677823599116273,0
213644_at,-0.01759898445863451,0
203954_x_at,0.01744915232910963,2
234750_at,0.017416616100681574,0
226997_at,-0.01735725323052073,1
242653_at,0.01733861975326598,0
232146_at,0.017334331395456724,0
227594_at,0.017163598080432052,1
201951_at,-0.017104537511488375,0
1555733_s_at,-0.017090755272953288,0
212061_at,0.01702029344665746,0
217205_at,0.016864777458713436,2
228161_at,0.016859437414162057,1
224263_x_at,0.016742833026240925,0
242760_x_at,0.016741573378791116,0
216069_at,0.0167210078464757,1
209012_at,0.016631517258001313,0
201952_at,-0.016588124943298255,1
202623_at,0.01650632764085152,1
1555321_at,0.01647547143160503,0
225068_at,0.01642018236245142,1
1560577_at,0.016373015619651595,2
206399_x_at,-0.016264544125587664,0
220805_at,0.01618644152386995,0
1555539_at,-0.016165273799278044,0
231105_at,0.016143904680873074,0
1564402_at,0.016128607106987908,0
203424_s_at,-0.015978963293716387,0
225276_at,0.01588710550855796,0
220905_at,0.015873569979338475,0
227754_at,0.015868355584464543,1
1554368_at,-0.015860450256068404,1
1557733_a_at,0.015470495266970512,1
238078_at,0.015467036247780064,3
1569289_at,-0.015396965424478175,1
214231_s_at,0.015210448558137753,1
1566469_at,0.015176322682530368,2
219381_at,-0.015121560676991342,3
202554_s_at,-0.0150910587334293,1
241211_at,0.014988549668975004,2
220065_at,0.014986055723649016,0
228234_at,-0.01496091452320707,2
1559340_at,0.014949338767007318,1
201493_s_at,0.014884131061897572,0
241978_at,0.014837928357469632,1
1555968_a_at,0.014696854774275288,0
209594_x_at,0.01469265534690167,1
1569830_at,-0.014662528240949413,4
1564315_at,-0.014625182317480777,0
230846_at,0.014409318011251393,2
221964_at,0.014351828647957409,0
244003_at,0.014332680800527468,0
214821_at,0.014160111575978025,0
209656_s_at,-0.01411509291055269,0
1561327_at,0.014073188645871395,1
1560489_at,0.014050806995355453,2
1563670_at,-0.014017763147617442,1
203205_at,0.013873789171047564,1
221557_s_at,0.01385074792949495,1
242841_at,0.013842562428571842,0
211598_x_at,0.013750713495410809,1
1559787_at,0.013714393015965502,2
237296_at,0.013686346740886089,1
238559_at,-0.013546140780697545,0
220133_at,-0.01350873421810295,0
1557734_s_at,0.013501289021850039,1
1555465_at,0.013491722735591637,1
243569_at,0.013451911936332462,0
233836_at,0.013448027714475496,0
226066_at,-0.013423832334849867,0
227448_at,0.013300098650653786,0
234507_at,-0.013232561083189777,1
219731_at,0.013217467788067573,1
232539_at,0.013168936509539566,2
200860_s_at,0.013143566474824755,0
1556923_at,0.013126534556581002,0
206959_s_at,0.01308045087458531,0
208702_x_at,0.013040846808545298,1
1555083_at,0.013027011872777309,1
1557055_s_at,0.012976336295768626,0
1568643_a_at,0.012825760783453693,0
239936_at,0.012823982031943047,0
227557_at,0.012747202163728091,0
226683_at,-0.01270450790791004,1
235997_at,0.012669559005043575,0
230747_s_at,-0.012469373703428566,0
244705_at,-0.012468430861736851,1
209205_s_at,-0.012425020405513063,1
230049_at,-0.012404131248912504,0
233446_at,-0.01209737051721927,0
219819_s_at,0.011983445186672544,0
216244_at,-0.011974709232395703,0
1553978_at,0.011965466779607505,1
1568748_at,0.011929480459509893,0
241354_at,0.011888102667096312,1
230721_at,-0.011622315254733387,0
241023_at,0.011556131152575404,0
210124_x_at,0.011364694401637494,0
218428_s_at,0.011176922091006652,1
216780_at,0.011175529242107707,0
236838_at,-0.011120379522932027,1
242959_at,0.011035038970538478,0
1554671_a_at,0.010819731061427267,0
217200_x_at,-0.010775478693242503,1
230860_at,-0.010732502340904719,3
201404_x_at,0.010692938667071628,0
1555922_at,0.010584552670716035,0
225867_at,-0.01056552619329973,2
222213_x_at,-0.01049886817921635,1
220267_at,0.010360275097916847,0
226350_at,0.010269637580040097,1
226927_at,0.010027124942718282,1
237962_x_at,-0.010023370924122104,1
1555419_a_at,0.009989108036388339,0
40020_at,-0.009800875313051143,1
204335_at,0.009791789326981458,0
224883_at,-0.009785153084767262,0
206375_s_at,-0.00959068400383339,0
234035_at,0.009503690314183199,1
221515_s_at,0.009492397392247857,0
205038_at,-0.009435023944797945,1
233089_at,-0.009410896868241482,2
234224_at,0.00924622477289811,0
237549_at,0.00916338928613597,0
1562642_at,0.009102760275116325,0
1558875_at,-0.009096289147038148,1
1567687_at,0.009028488410992444,0
242523_at,0.009025785115482111,0
221102_s_at,0.009005410387178493,3
227368_at,0.008994912525250585,1
215460_x_at,0.008635897222079698,0
231133_at,0.008594777498720544,0
208075_s_at,-0.008584865638715985,0
238498_at,0.008536414048466019,0
1554386_at,-0.008509608992188805,0
216020_at,-0.008494416403732573,1
239301_at,0.008382215204162099,2
229164_s_at,-0.00831734877518711,1
223950_s_at,-0.008293894961262031,0
211349_at,0.008287607530798281,0
202286_s_at,-0.008276574673588924,0
220353_at,0.008262425674675713,2
243097_x_at,-0.008247562838175744,2
236072_at,0.008234648835534427,0
40665_at,-0.008209924327431511,0
1569069_s_at,0.00811509449444619,1
1557194_a_at,0.008089953176906623,3
1554608_at,0.00808269798634879,1
213159_at,-0.008080245686134769,0
224801_at,0.008029690866367737,3
224336_s_at,0.008021693070015327,0
217999_s_at,-0.007949891723083852,0
211391_s_at,0.00791877650720357,0
211653_x_at,-0.007898689057899984,0
217233_at,0.007666316205255459,1
1560318_at,0.007604363783320689,1
1563188_at,-0.007600901293778875,2
208942_s_at,-0.007567496267634121,1
215709_at,-0.007524923489011727,0
207149_at,0.007494529616210598,0
219564_at,-0.007490596105284364,0
210225_x_at,-0.007323589069418582,2
228054_at,0.007299719060551412,0
242021_at,0.007296399202640749,0
226456_at,0.007206891973917791,2
1552803_a_at,-0.007080876914309447,0
213426_s_at,-0.007028749140892244,2
215830_at,0.007000739352617489,1
205443_at,-0.00698542969301728,0
244084_at,0.006982181067237395,1
221115_s_at,-0.006980970701653517,0
244890_at,0.006978853965689488,0
208957_at,0.006957187372558726,0
208532_x_at,0.006940129663205924,2
218702_at,0.006890586390648566,0
1559277_at,-0.006878488065060654,0
204965_at,-0.0068454102917250535,0
242782_x_at,0.006777918258234766,1
243859_at,0.006647523698115158,0
236734_at,-0.006621618663962559,0
227569_at,0.00653495194209847,0
242577_at,0.006481000494941934,2
1554450_s_at,0.006434985006679674,0
237409_at,0.006337362133447664,1
214436_at,-0.006249299368549611,1
205792_at,0.006203803050682642,0
1564721_at,0.006179709264118074,0
240957_at,0.00599717236263858,1
206675_s_at,0.0058975792275031075,0
223585_x_at,0.005868772453977014,0
206709_x_at,0.00580503341764249,1
232158_x_at,0.005786154195573634,0
206336_at,-0.005706529522336948,0
218619_s_at,0.005571110881473379,1
201212_at,0.005527753746684344,2
244748_at,-0.005480948605756814,0
203576_at,0.005368143752780595,1
219655_at,0.005346810888071731,0
208278_s_at,0.005229999606814629,0
205996_s_at,0.005195813516441018,1
228988_at,0.005171600459605036,1
217512_at,0.005138405745191162,1
204714_s_at,-0.005060286591161273,1
239194_at,-0.0049855518117771815,0
1553148_a_at,0.0049534989327959435,1
214367_at,0.004945385016972843,0
228714_at,-0.004927981351646531,0
232936_at,0.004859956196153966,0
228609_at,0.004839022932872687,2
207056_s_at,0.004780451977163189,0
214489_at,0.00471518667347451,0
231003_at,0.004644841535379115,2
239643_at,0.004620963880476996,1
232699_at,0.004601270052954284,0
213265_at,-0.004533305464227509,2
209933_s_at,-0.004515585066443303,0
243782_at,0.004467090212945354,0
204540_at,-0.004448155131829831,0
213529_at,0.004443881702412331,0
219694_at,0.004385961803648183,0
207850_at,-0.004337925796582675,0
241140_at,0.004332023416562067,0
231120_x_at,0.004313694810888908,2
1560819_a_at,0.004301609170410263,1
237247_at,-0.004299557247375263,0
223024_at,-0.0042961930372873445,0
1561720_at,0.00421695328771508,1
1561471_at,0.004155311600568721,0
213626_at,0.004133642609444027,0
233981_at,-0.00407821812460684,2
1553157_at,0.003947612992034486,0
1561530_at,0.003933026613975835,0
1562321_at,0.003922361886399365,0
207706_at,0.0038770475818392935,0
1558494_at,0.0038748018708455213,0
228152_s_at,-0.0038401374904470965,0
212546_s_at,0.003813635743918044,0
202989_at,-0.0037563258974210754,2
1567856_x_at,0.0037412718553025,0
238383_at,-0.0036877864192845803,1
1561467_at,0.0036416118510411623,0
220645_at,0.0035683658151441397,0
1567333_at,-0.0035327182284914786,0
242078_at,0.00352361079459508,0
1553830_s_at,0.0034210240025797423,1
209306_s_at,-0.003408311163504086,0
213486_at,0.003361750586975302,1
237632_at,0.003207027121258546,2
205949_at,0.003067356550374784,2
241921_x_at,0.003037875510804061,0
239874_at,-0.002985964393066202,0
238962_at,0.0029836099445623974,2
237127_at,0.0029257847451194426,0
240740_at,0.002872938356986084,0
235892_at,-0.002858378966903774,2
243200_at,-0.002829084491113118,0
210480_s_at,0.0028001724925020535,1
240581_at,-0.0027512272127591295,1
230016_at,0.002702699324831421,0
220321_s_at,0.002625060854965269,1
237944_at,0.0025681833918297843,2
1555855_at,0.002557311999309457,3
232795_at,0.002546342979431658,0
227588_s_at,0.0025241118349974877,0
227382_at,0.0024993479805894836,0
241460_at,0.0024951239629545144,1
241364_at,0.0024622484440945972,2
1559795_at,-0.0024117229907271113,0
1561795_at,0.00233764755099153,1
229932_at,0.0023373595970918744,0
238654_at,-0.0022916279006711428,1
244389_at,0.0022463947645362248,2
1553645_at,-0.0021140003371200693,0
244056_at,-0.002079292852089127,0
1559108_at,-0.002020000721688493,0
224841_x_at,0.001964741805346837,1
205122_at,-0.0019579616666913022,1
238217_at,-0.00189575945766421,0
1562869_at,0.0018500992130971977,1
238487_at,0.001829556523309607,1
233410_at,-0.0018184781337256851,0
236501_at,-0.0017468940083971247,3
224033_at,0.0016644475613226406,0
213162_at,0.0016601754208125474,0
237088_at,0.0016142541491576032,0
1559927_a_at,0.001588505744729811,1
207721_x_at,0.0015842088293390958,0
219188_s_at,0.001478446588783591,1
243628_at,-0.0014609474423167386,1
209109_s_at,0.0012703726770741423,0
238503_at,0.0011580934029037765,0
220426_at,-0.0011027030515072197,0
219081_at,0.0007614572765436238,0
1564021_at,0.0007410712763180304,0
1556864_at,-0.0006814315827654016,1
228650_at,-0.0006621646090203478,1
225969_at,0.0005545161378193823,0
204539_s_at,0.000553339039368684,0
1563814_at,-0.0005390298366622088,2
1554449_at,0.0005377936311512831,1
217860_at,0.0005108435352804768,0
204470_at,-0.00047399596852873947,1
200827_at,-0.0004662164567628835,0
31799_at,-0.0004575153067072901,1
1560512_at,0.00033968470106520083,1
203689_s_at,0.0003266378662723523,0
221106_at,-0.00031056286859249774,1
223135_s_at,-0.00029059757075946315,0
228125_at,0.0002821840286303841,0
215911_x_at,0.00023935737154254978,0
204863_s_at,-0.00021176148214404345,0
235203_at,0.00014403444584107375,1
210754_s_at,-0.00011168399988540472,0
